_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:113,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:113,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:114,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:114,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:115,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:115,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:116,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:116,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:117,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:132,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:117,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:118,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:118,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:119,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:119,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:120,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:131,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:120,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:121,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:131,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:121,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:122,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:122,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:123,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:141,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:123,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:124,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:124,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:125,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:125,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:126,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:141,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:126,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:127,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:127,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:256,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:273,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:145,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:257,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:146,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:258,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:147,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:259,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:130,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:148,{}
